"","SSP.min.corToCMS1","SSP.min.corToCMS2","SSP.min.corToCMS3","SSP.min.corToCMS4","SSP.median.corToCMS1","SSP.median.corToCMS2","SSP.median.corToCMS3","SSP.median.corToCMS4","SSP.max.corToCMS1","SSP.max.corToCMS2","SSP.max.corToCMS3","SSP.max.corToCMS4","SSP.nearestCMS","SSP.predictedCMS"
"GSM972063_SOG_709_U133_2.CEL.gz",-0.129966684113696,0.0454734513070763,-0.199364694787465,0.0832617011005203,-0.0865118919695368,0.0919838545441728,-0.17020327083652,0.0881469543115234,-0.0652489203520394,0.10952939704287,-0.150165469675356,0.113032382481327,"CMS4",NA
"GSM972064_SOG_713_U133_2.CEL.gz",-0.0674939813066374,-0.129615442474901,-0.371867594347927,0.304907480244337,0.0142869192982568,-0.0719384638069858,-0.331832421596114,0.333862689028184,0.0395440299725163,-0.0633221449169315,-0.273991869749407,0.359749025660023,"CMS4","CMS4"
"GSM972065_SOG_714_U133_2.CEL.gz",-0.159209284005065,0.160272603869866,-0.166817254284877,-0.0618966641473682,-0.146300754046787,0.21195131184629,-0.11205233580434,-0.0585006688108286,-0.0881860383721528,0.221584260359439,-0.0923278383231343,-0.0202022992486862,"CMS2","CMS2"
"GSM972066_SOG_715_U133_2.CEL.gz",-0.175131620310566,0.221777957278866,-0.226524678822911,-0.0727012055772838,-0.154450160836288,0.255454256995246,-0.197825429236396,-0.063039731061416,-0.101121532581582,0.283298157529193,-0.177861502437086,-0.0311227643301174,"CMS2","CMS2"
"GSM972067_SOG_718_U133_2.CEL.gz",-0.0583986979692304,-0.101579223214738,-0.308872958669827,0.263893783052712,0.0138761652869389,-0.0592371036361291,-0.299419284497482,0.299684429785795,0.042904555785958,-0.0345677378322531,-0.289460410690922,0.302499442682501,"CMS4","CMS4"
"GSM972068_SOG_719_U133_2.CEL.gz",-0.0553690109096867,-0.207963825264189,-0.461205844726357,0.472691350260854,0.0233463122643642,-0.155072488120302,-0.443177463803027,0.494067606991266,0.0862379950132183,-0.12489412156772,-0.368637070229383,0.528652897398917,"CMS4","CMS4"
"GSM972069_SOG_721_U133_2.CEL.gz",-0.186374119545067,0.185914123321547,-0.38268219674471,0.0772789794208172,-0.139070672166921,0.215382716497232,-0.372155621838072,0.0886045338737827,-0.112202109669781,0.273553965108632,-0.346393537991818,0.13499454367397,"CMS2","CMS2"
"GSM972070_SOG_722_U133_2.CEL.gz",-0.135890428710786,-0.0089605556528011,0.135105153250608,-0.0971454500947396,-0.0810836541492315,0.00980127615052357,0.187216028963072,-0.059085421747597,-0.0651121116396421,0.0602094159821366,0.208318615758804,0.0330807021665742,"CMS3","CMS3"
"GSM972071_SOG_723_U133_2.CEL.gz",-0.220070304016441,0.223918995950887,-0.336065653360152,0.0315316227309414,-0.180235498839353,0.264088738415135,-0.314456665291051,0.0515962637785589,-0.150544406670552,0.29632451601738,-0.308640847891299,0.105471575542927,"CMS2","CMS2"
"GSM972072_SOG_724_U133_2.CEL.gz",0.426178996364758,-0.423983815545538,-0.226584549691324,0.0825099624569789,0.457061777749422,-0.377454962603538,-0.200269607582091,0.122573761093262,0.496878329658335,-0.335871094969207,-0.164295801024866,0.23524694889468,"CMS1","CMS1"
"GSM972073_SOG_725_U133_2.CEL.gz",0.0633975192083563,-0.20369199696464,-0.186238100841078,0.209802983454144,0.120066308933263,-0.184359833089822,-0.16914899322433,0.213285675501577,0.16032530792719,-0.153594732198691,-0.163924209283689,0.267570413245579,"CMS4","CMS4"
"GSM972074_SOG_726_U133_2.CEL.gz",-0.232951447249485,0.267974903006342,-0.138132559126676,-0.14011015843084,-0.20925561530609,0.295025144332154,-0.115070179163581,-0.125844927608947,-0.142412025120277,0.327935304533285,-0.0739099168620756,-0.09043844017313,"CMS2","CMS2"
"GSM972075_SOG_727_U133_2.CEL.gz",0.184462912560716,-0.107190688767747,-0.062573807628959,-0.182225493090028,0.192979373323709,-0.0405088051972452,-0.00524960306739288,-0.124761048412168,0.222618914981756,-0.00469102273722033,0.0611272431304568,-0.106908903920003,"CMS1","CMS1"
"GSM972076_SOG_728_U133_2.CEL.gz",0.390613960912441,-0.423048714102173,-0.00189174809020354,0.0120466699942003,0.412484659631267,-0.415436191640608,0.0797078914080945,0.0596651298126191,0.416068881869956,-0.395521750048334,0.0980114652338691,0.162601668394536,"CMS1","CMS1"
"GSM972077_SOG_729_U133_2.CEL.gz",-0.0875466218856123,-0.150904053079968,-0.0020416383702257,0.12606404348937,-0.0165850385797484,-0.0970727684413775,0.00580791859374753,0.16358237625698,0.0281789019756662,-0.0664481026614885,0.0283088442059041,0.186083473247065,"CMS4","CMS4"
"GSM972078_SOG_731_U133_2.CEL.gz",-0.156602428449086,0.0353957995692281,-0.261158818872399,0.143895053242014,-0.120816322473893,0.121786883814682,-0.258292225302599,0.156937003769575,-0.0934690430423273,0.133575622936874,-0.233686563818572,0.20574922138238,"CMS4",NA
"GSM972079_SOG_732_U133_2.CEL.gz",0.181891423050158,-0.310627871317233,-0.0411615567564676,0.113267237834604,0.212304568885374,-0.288144950741588,0.0135918612786509,0.175789033356022,0.247344292054747,-0.272199353871975,0.0408950062438621,0.198629354881076,"CMS1","CMS1"
"GSM972080_SOG_733_U133_2.CEL.gz",0.375507378219915,-0.33600454647431,0.000898221980743583,-0.118898735411535,0.389293435426326,-0.312507866629573,0.0878611950453314,-0.0620016806906743,0.410866828728895,-0.270539703976746,0.141176207443613,0.023387508836056,"CMS1","CMS1"
"GSM972081_SOG_734_U133_2.CEL.gz",-0.191670836465272,0.191707766567019,-0.0826039550673969,-0.149074342652233,-0.169968538580084,0.247395198466698,-0.0383981494398664,-0.134526490162314,-0.0921262655783299,0.257602526805052,-0.0109941040576626,-0.0934183209016901,"CMS2","CMS2"
